CMDLINE c:\users\eitelhuberch\appdata\local\programs\python\python37-32\python.exe configmode.py
MEM 64.601562 1569565679.6654
MEM 64.601562 1569565679.7660
MEM 64.601562 1569565679.8667
MEM 64.601562 1569565679.9676
MEM 64.601562 1569565680.0681
MEM 64.601562 1569565680.1689
MEM 64.601562 1569565680.2696
MEM 64.601562 1569565680.3703
MEM 64.601562 1569565680.4707
MEM 64.601562 1569565680.5715
MEM 64.601562 1569565680.6722
MEM 64.601562 1569565680.7729
MEM 64.601562 1569565680.8736
MEM 64.601562 1569565680.9744
MEM 64.601562 1569565681.2038
MEM 64.601562 1569565681.3045
MEM 64.601562 1569565681.4222
MEM 64.601562 1569565681.5279
MEM 64.601562 1569565681.6296
MEM 64.601562 1569565681.7453
MEM 64.601562 1569565681.8520
MEM 64.601562 1569565681.9567
MEM 64.601562 1569565682.0694
MEM 64.601562 1569565682.1702
MEM 64.601562 1569565682.2709
MEM 64.601562 1569565682.3716
MEM 64.601562 1569565682.4724
MEM 64.601562 1569565682.5731
MEM 64.601562 1569565682.6738
MEM 64.601562 1569565682.7746
MEM 64.601562 1569565682.8753
MEM 64.601562 1569565682.9760
MEM 64.601562 1569565683.0767
MEM 64.601562 1569565683.1775
MEM 64.601562 1569565683.2782
MEM 64.601562 1569565683.3789
MEM 64.601562 1569565683.4798
MEM 64.601562 1569565683.5804
MEM 64.601562 1569565683.6813
MEM 64.601562 1569565683.7819
MEM 64.601562 1569565683.8826
MEM 64.601562 1569565683.9835
MEM 64.601562 1569565684.0841
MEM 64.601562 1569565684.1848
MEM 64.601562 1569565684.2857
MEM 64.601562 1569565684.3862
MEM 64.601562 1569565684.4871
MEM 64.601562 1569565684.5879
MEM 64.601562 1569565684.6886
MEM 64.601562 1569565684.7892
MEM 64.601562 1569565684.8900
MEM 64.601562 1569565684.9906
MEM 64.601562 1569565685.0915
MEM 64.601562 1569565685.1921
MEM 64.601562 1569565685.2929
MEM 64.601562 1569565685.3955
MEM 64.601562 1569565685.4963
MEM 64.601562 1569565685.5980
MEM 64.601562 1569565685.6987
MEM 64.601562 1569565685.7995
MEM 64.601562 1569565685.9003
MEM 64.601562 1569565686.0009
MEM 64.601562 1569565686.1018
MEM 64.601562 1569565686.2025
MEM 64.601562 1569565686.3031
MEM 64.601562 1569565686.4038
MEM 64.601562 1569565686.5046
MEM 64.601562 1569565686.6053
MEM 64.601562 1569565686.7060
MEM 64.601562 1569565686.8068
MEM 64.601562 1569565686.9075
MEM 64.601562 1569565687.0084
MEM 64.601562 1569565687.1090
MEM 64.601562 1569565687.2097
MEM 64.601562 1569565687.3106
MEM 64.601562 1569565687.4113
MEM 64.601562 1569565687.5119
MEM 64.601562 1569565687.6126
MEM 64.601562 1569565687.7133
MEM 64.601562 1569565687.8141
MEM 64.601562 1569565687.9148
MEM 64.601562 1569565688.0157
MEM 64.601562 1569565688.1163
MEM 64.601562 1569565688.2171
